# CATH_ID	S35_REPS	DOMAINS	NAME
1.10.10.540	3	15	XPC-binding domain
1.10.10.570	2	12	"Winged helix" DNA-binding domain. Chain C. Domain 1
1.10.10.580	2	7	Structural maintenance of chromosome 1. Chain E
1.10.10.600	1	2	IscX-like
1.10.10.610	1	1	YehU-like
1.10.10.620	1	3	ribosome modulation factor like domain
1.10.10.630	2	3	DnaD domain-like
1.10.10.640	1	1	phospholipid-binding protein
1.10.10.650	2	5	RuvA domain 2-like 
1.10.10.660	1	4	conserved protein of unknown function from Enterococcus faecalis V583
1.10.10.670	1	61	photosystem ii from thermosynechococcus elongatus 
1.10.10.680	1	1	Hypothetical protein VC1899 (Restriction endonuclease-like)
1.10.10.690	1	1	YidB-like
1.10.10.710	1	5	PSPTO_1197 like
1.10.10.720	1	2	leucyl-tRNA synthetase
1.10.10.730	1	4	KorB DNA-binding domain
1.10.10.740	2	26	Crisp domain
1.10.10.750	3	11	Ypt/Rab-GAP domain of gyp1p, domain 1
1.10.10.760	1	9	E-set domains of sugar-utilizing enzymes 
1.10.10.770	1	2	
1.10.10.790	5	10	Surp module
1.10.10.800	1	2	
1.10.10.820	3	41	
1.10.10.830	1	1	Ile-tRNA synthetase CP2 domain-like
1.10.10.840	1	4	
1.10.10.850	1	1	
1.10.10.880	1	2	Anti sigma-E protein RseA, N-terminal domain
1.10.10.900	2	7	SBDS protein C-terminal domain, subdomain 1
1.10.10.910	1	1	ATP synthase, F1 beta subunit
1.10.10.920	1	1	
1.10.10.930	3	16	
1.10.10.940	1	4	
1.10.10.950	1	4	
1.10.10.970	1	3	RNA 2'-phosphotransferase, Tpt1/KptA family, N-terminal domain
1.10.10.980	1	2	CST, Suppressor of Cdc13 homolog, complex subunit STN1, N-terminal domain
1.10.10.990	1	6	
1.10.10.1000	1	1	Type III secretion system virulence factor YopR, core domain
1.10.10.1010	1	2	Intein homing endonuclease, domain IV
1.10.10.1020	1	6	RecBCD complex, subunit RecD, N-terminal domain
1.10.10.1030	1	3	IrrE, HTH domain
1.10.10.1050	2	7	Dcp2, box A domain
1.10.10.1060	1	8	Catalase HPII, helical domain
1.10.10.1070	2	6	Zinc finger, BED domain-containing
1.10.10.1080	1	2	Stn1, N-terminal wHTH domain
1.10.10.1100	3	10	BFD-like [2Fe-2S]-binding domain
1.10.10.1110	1	1	Methyltransferase PG1098, N-terminal domain
1.10.10.1120	1	1	Lysin B, C-terminal linker domain
1.10.10.1130	1	1	Uncharacterised protein PF10982, DUF2789
1.10.10.1140	1	21	Glutamine-dependent NAD+ synthetase, C-terminal domain
1.10.10.1150	1	1	Coenzyme PQQ synthesis protein D (PqqD)
1.10.10.1180	1	1	MAN1, winged-helix domain
1.10.10.1190	1	4	Antirestriction protein ArdA, domain 3
1.10.10.1200	2	2	MAGE homology domain, winged helix WH1 motif
1.10.10.1210	1	2	MAGE homology domain, winged helix WH2 motif
1.10.10.1230	2	9	Penicillin-binding protein, N-terminal non-catalytic domain, head sub-domain
1.10.10.1250	1	6	RNA polymerase, subunit delta, N-terminal domain
1.10.10.1260	1	4	Envelope glycoprotein gp160, DUF2291, helical domain
1.10.10.1270	2	16	Sbi, C3 binding domain IV
1.10.10.1280	1	15	Alpha-helical porin B/porin C
1.10.10.1290	1	2	Transcriptional regulator DELLA, N-terminal domain
1.10.10.1310	1	4	ToxT, HTH1 motif
1.10.10.1320	3	18	Anti-sigma factor, zinc-finger domain
1.10.10.1330	1	3	RNA polymerase sigma-54 factor, core-binding domain
1.10.10.1340	1	5	Mediator of RNA polymerase II, submodule Med31 (Soh1)
1.10.10.1350	2	9	Spidroin domain, C-terminal domain
1.10.10.1360	1	2	tRNA (Ile)-lysidine synthase
1.10.10.1390	1	2	ATP-dependent DNA helicase RecQ
1.10.10.1400	1	4	Terminase, small subunit, N-terminal DNA-binding domain, HTH motif
1.10.10.1410	3	12	
1.10.10.1420	2	3	DNA replication factor Cdt1, C-terminal WH domain
1.10.10.1440	1	5	PHAX RNA-binding domain
1.10.10.1450	1	11	
1.10.10.1460	1	1	
1.10.10.1470	1	2	F-112 protein-like
1.10.10.1480	1	12	Plasmid replication protein
1.10.10.1490	1	1	
1.10.10.1500	2	32	JmjC domain-containing ribosomal oxygenase (ROX), dimer domain
1.10.10.1510	1	2	
1.10.10.1530	1	13	
1.10.10.1540	2	2	Costar domain
1.10.10.1550	1	1	ROS/MUCR transcriptional regulator protein
1.10.10.1580	1	1	Interferon regulatory factor 2-binding protein
1.10.10.1590	1	14	NADH-quinone oxidoreductase subunit E
1.10.10.1600	2	10	Bacterial DNA polymerase III alpha subunit, thumb domain
1.10.10.1620	1	1	
1.10.10.1630	1	4	Sys-1 C-terminal domain-like
1.10.10.1650	1	1	
1.10.10.1660	1	4	Nicotine adenine dinucleotide glycohydrolase, helical linker domain
1.10.10.1670	1	18	HetR, flap domain
1.10.10.1680	1	18	HetR, N-terminal DNA-binding domain
1.10.10.1690	1	2	Uncharacterised CRISPR-associated protein family, UPF0236
1.10.10.1700	2	10	Histone-lysine N-methyltransferase
1.10.10.1710	1	8	Deoxyribodipyrimidine photolyase-related
1.10.10.1720	1	6	CRISPR-Cas system, Cmr2 subunit, D2 domain, helical bundle
1.10.10.1730	1	2	Folliculin 
1.10.10.1740	2	3	Transmembrane protein 14-like
1.10.10.1760	2	51	60S ribosomal protein L36
1.10.10.1770	1	5	Gun4-like
1.10.10.1780	1	17	
1.10.10.1790	1	1	
1.10.10.1800	3	14	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG/GidA
1.10.10.1810	1	5	RNA ligase
1.10.10.1820	1	2	BsuBI/PstI restriction endonuclease-like
1.10.10.1830	1	2	Non-ribosomal peptide synthase, adenylation domain
1.10.10.1840	1	6	
1.10.10.1850	1	1	Sporulation protein-like
1.10.10.1870	1	1	ShTK domain-like 
1.10.10.1890	2	5	Ska1 microtubule binding domain-like
1.10.10.1900	1	1	Knl-2 Myb-like DNA-binding domain-like
1.10.10.1920	2	2	
1.10.10.1930	1	31	
1.10.10.1940	1	1	
1.10.10.1950	1	10	
1.10.10.1970	1	1	TERT catalytic subunit-like
1.10.10.1990	1	11	Viral RNA-directed RNA polymerase, 4-helical domain
1.10.10.2010	1	1	
1.10.10.2020	2	5	Host-nuclease inhibitor protein Gam
1.10.10.2030	1	1	DNA/RNA-binding protein Kin17, conserved domain
1.10.10.2040	1	2	
1.10.10.2050	1	1	
1.10.10.2060	1	7	
1.10.10.2080	1	5	
1.10.10.2090	1	5	
1.10.10.2100	1	1	
1.10.10.2110	1	2	
1.10.10.2120	1	12	
1.10.10.2130	1	6	DEAH helicase family, winged-helix domain
1.10.10.2150	1	2	Ribosomal RNA-processing protein 8, N-terminal domain
1.10.10.2160	1	15	
1.10.10.2170	1	11	
1.10.10.2200	1	4	
1.10.10.2210	1	8	
1.10.10.2220	1	2	
1.10.10.2230	1	4	
1.10.10.2240	2	10	
1.10.10.2250	1	11	
1.10.10.2260	1	1	MukE-like family, C-terminal domain
1.10.10.2270	1	4	Dsl1p vesicle tethering complex, Tip20p subunit, domain E
1.10.10.2320	1	1	
1.10.10.2330	1	1	
1.10.10.2340	1	4	
1.10.10.2360	1	5	
1.10.10.2380	2	7	
1.10.10.2390	1	4	
1.10.10.2400	1	1	Lepidopteran low molecular weight (30 kD) lipoprotein, N-terminal domain
1.10.10.2420	1	1	
1.10.10.2430	1	2	NFRKB winged helix-like domain 
1.10.10.2450	1	1	
1.10.10.2460	1	3	
1.10.10.2470	1	2	
1.10.10.2480	1	9	
1.10.10.2490	1	4	
1.10.10.2520	1	3	Cell wall hydrolase SleB, domain 1
1.10.10.2560	1	2	
1.10.10.2570	2	6	
1.10.10.2580	1	2	Penicillin Acylase III; Chain A, Domain 2
1.10.10.2590	1	6	BEN domain
1.10.10.2660	1	23	Ubiquitin-activating enzyme E1, SCCH domain
1.10.10.2670	1	2	E3 ubiquitin-protein ligase 
1.10.10.2690	2	6	
1.10.10.2740	1	2	Spt6, Death-like domain
1.10.10.2750	1	3	
1.10.10.2770	1	3	
1.10.10.2790	2	26	
1.10.10.2830	3	19	
1.10.10.2840	1	4	PucR C-terminal helix-turn-helix domain
1.10.10.2850	1	1	Phage late-transcription coactivator-like
1.10.10.2890	1	2	
1.10.10.2910	1	3	
1.10.10.2920	1	1	
1.10.12.10	38	491	Lyase 2-enoyl-coa Hydratase, Chain  A, domain 2
1.10.12.40	1	13	
1.10.12.70	3	21	
1.10.15.30	1	66	
1.10.15.40	1	4	Electron transport complex subunit B, putative Fe-S cluster
1.10.20.10	46	1759	Histone, subunit A
1.10.20.40	1	4	Formin, diaphanous GTPase-binding domain
1.10.20.60	5	38	Glu-tRNAGln amidotransferase C subunit, N-terminal domain
1.10.20.70	1	1	Transcription termination and cleavage factor, C-terminal domain
1.10.20.110	1	21	
1.10.20.120	1	1	
1.10.20.130	1	3	
1.10.20.140	3	10	
1.10.20.150	1	1	
1.10.30.10	20	89	High mobility group box domain
1.10.30.20	1	3	Bacterial XPD DNA helicase, FeS cluster domain
1.10.30.40	1	14	Ethanolamine ammonia-lyase light chain (EutC), N-terminal domain
1.10.30.50	1	6	
1.10.40.30	15	205	Fumarase/aspartase (C-terminal domain)
1.10.40.40	2	36	Deoxyribonucleotidase; domain 2
1.10.40.50	2	6	Probable gtpase engc; domain 3
1.10.40.60	2	2	EpsJ-like
1.10.40.70	1	2	
1.10.40.80	1	3	
1.10.40.90	1	4	
1.10.40.100	1	4	
1.10.40.110	1	1	
1.10.45.10	7	102	Vanillyl-alcohol Oxidase; Chain A, domain 4
1.10.60.10	4	94	Iron dependent repressor, metal binding and dimerisation domain
1.10.60.20	1	61	Ribosomal protein S17e-like
1.10.60.30	2	2	PSPTO4464-like domains
1.10.60.40	2	6	
1.10.60.50	2	4	
1.10.100.10	5	49	Insulin-like
1.10.101.10	6	27	PGBD-like superfamily/PGBD
1.10.110.10	13	73	Plant lipid-transfer and hydrophobic proteins
1.10.110.30	2	11	
1.10.132.10	3	15	
1.10.132.20	5	44	Ribosome-recycling factor
1.10.132.30	4	93	
1.10.132.50	1	4	ATP synthase (C/AC39) subunit, domain 3
1.10.132.60	6	21	DNA polymerase family B, C-terminal domain
1.10.132.70	3	17	
1.10.132.80	1	9	
1.10.132.90	1	4	
1.10.132.100	3	10	
1.10.132.110	1	8	Serum amyloid A protein
1.10.132.120	1	2	
1.10.132.130	1	8	
1.10.135.10	3	148	ATP:guanido phosphotransferase, N-terminal domain
1.10.140.10	1	30	MET Apo-Repressor, subunit A
1.10.150.20	58	1544	5' to 3' exonuclease, C-terminal subdomain
1.10.150.40	1	17	Barrier-to-autointegration factor, BAF
1.10.150.50	54	215	Transcription Factor, Ets-1
1.10.150.60	6	23	ARID DNA-binding domain
1.10.150.80	15	50	HRDC domain
1.10.150.90	6	34	Immunodeficiency lentiviruses, gag gene matrix protein p17
1.10.150.110	8	566	DNA polymerase beta, N-terminal domain-like
1.10.150.120	5	118	[2Fe-2S]-binding domain
1.10.150.130	19	94	
1.10.150.160	1	1	
1.10.150.170	1	7	Putative methyltransferase TM0872, insert domain
1.10.150.180	1	5	Gamma-retroviral matrix domain
1.10.150.190	4	20	Translation initiation factor 2; subunit 1; domain 2
1.10.150.200	1	4	Maltooligosyl trehalose synthase; domain 3
1.10.150.210	4	33	Phosphoserine phosphatase; domain 2
1.10.150.220	1	4	CPI-17
1.10.150.240	42	321	Putative phosphatase; domain 2
1.10.150.250	4	10	Flavinator of succinate dehydrogenase
1.10.150.260	3	4	YozE SAM-like
1.10.150.280	2	2	AF1531-like domain
1.10.150.290	1	2	S-adenosyl-L-methionine-dependent methyltransferases 
1.10.150.300	3	13	TGS-like domain
1.10.150.310	1	3	Tex RuvX-like domain-like
1.10.150.320	2	54	Photosystem II 12 kDa extrinsic protein
1.10.150.330	1	4	zn-dependent alcohol dehydrogenase
1.10.150.340	2	24	Pyrimidine 5'-nucleotidase (UMPH-1), N-terminal domain
1.10.150.350	1	4	
1.10.150.360	1	2	
1.10.150.370	1	2	Caenorhabditis elegans Her-1, C-terminal domain
1.10.150.380	1	3	GatB domain, N-terminal subdomain
1.10.150.390	2	14	
1.10.150.400	1	2	
1.10.150.420	1	9	Coronavirus nonstructural protein 4 C-terminus
1.10.150.430	3	3	DUF3349, helical bundle
1.10.150.440	1	1	
1.10.150.450	2	3	
1.10.150.460	1	3	
1.10.150.470	1	1	
1.10.150.480	2	22	
1.10.150.490	1	2	Retroviral GAG p10 protein
1.10.150.510	2	22	Receptor activity modifying family
1.10.150.520	1	1	
1.10.150.530	2	12	
1.10.150.540	1	3	
1.10.150.550	1	1	Arenavirus nucleocapsid protein, head domain
1.10.150.560	1	2	
1.10.150.570	1	11	GidA associated domain, C-terminal subdomain
1.10.150.590	1	1	Dinitrogenase iron-molybdenum cofactor, N-terminal
1.10.150.610	1	1	
1.10.150.620	1	2	Capsid protein VP3, domain 1
1.10.150.630	1	7	
1.10.150.640	1	3	AcsD, thumb domain, helical bundle
1.10.150.650	2	4	
1.10.150.660	1	2	
1.10.150.670	2	12	Crossover junction endonuclease EME1, DNA-binding domain
1.10.150.690	1	1	DUF2063
1.10.150.700	1	3	PolC, middle finger domain
1.10.150.710	1	4	Glutamate cysteine ligase subdomain
1.10.150.720	1	1	Haloacid dehalogenase-like hydrolase
1.10.150.730	1	1	
1.10.150.740	1	5	
1.10.150.750	1	1	
1.10.150.770	1	8	
1.10.150.780	1	1	Vps16, C-terminal region
1.10.150.790	1	2	
1.10.150.810	2	30	
1.10.150.830	1	2	
1.10.150.850	1	2	Spt6, helix-hairpin-helix domain
1.10.150.870	1	3	
1.10.150.880	1	2	
1.10.150.900	1	2	
1.10.150.910	1	45	
1.10.150.920	1	4	
1.10.155.10	1	2	Chemotaxis receptor methyltransferase CheR, N-terminal domain
1.10.166.10	1	16	Tetrahydrodipicolinate-N-succinyltransferase, N-terminal domain
1.10.167.10	13	125	Regulator of G-protein Signalling 4, domain 2
1.10.167.20	1	2	
1.10.167.30	1	1	
1.10.168.10	2	4	Phosducin, domain 2
1.10.168.20	3	61	Ribosomal protein S8e, subdomain
1.10.170.10	1	19	Bluetongue Virus 10, subunit 1, domain 3
1.10.185.10	1	1	Delta-retroviral matrix
1.10.189.10	1	17	Pyruvate Phosphate Dikinase, domain 2
1.10.195.10	1	2	HIV-1 VPU cytoplasmic domain
1.10.196.10	8	46	
1.10.196.20	1	2	
1.10.196.30	1	2	
1.10.210.10	1	6	Secretoglobin
1.10.210.20	2	21	
1.10.220.10	22	429	Annexin
1.10.220.20	5	39	
1.10.220.30	6	27	
1.10.220.50	1	1	Bacteriophage T4, Gp59, helicase assembly protein, C-terminal domain
1.10.220.60	1	8	GRIP domain
1.10.220.70	1	22	lyase
1.10.220.80	1	2	BH2638-like
1.10.220.90	1	1	Mistic
1.10.220.100	1	2	conserved c-terminal region of ge- 1
1.10.220.110	1	1	GDNF binding domain
1.10.220.120	2	6	Sigma-70 factor, region 1.1
1.10.220.150	7	34	Arf GTPase activating protein
1.10.220.160	1	21	
1.10.225.10	12	55	Saposin-like
1.10.225.40	1	3	MukF, C-terminal domain
1.10.230.10	6	161	Cytochrome P450-Terp, domain 2
1.10.238.10	166	1933	EF-hand
1.10.238.20	21	166	Pheromone/general odorant binding protein domain
1.10.238.70	1	4	
1.10.238.80	1	1	MTH865-like
1.10.238.90	1	2	Restriction endonuclease BsobI, helical domain
1.10.238.100	1	1	YAP1 redox domain. Chain B
1.10.238.110	1	1	Diacylglycerol kinase alpha.
1.10.238.120	1	4	Jann4075-like
1.10.238.150	4	16	Formin, FH3 diaphanous domain
1.10.238.160	1	1	
1.10.238.180	1	2	
1.10.238.190	1	8	
1.10.238.200	3	12	Cullin, PONY binding domain
1.10.238.210	1	47	
1.10.238.220	2	8	
1.10.238.230	1	5	
1.10.238.260	1	1	
1.10.238.270	1	7	
1.10.239.10	2	16	Elicitin domain
1.10.240.10	20	260	Tyrosyl-Transfer RNA Synthetase
1.10.245.10	8	279	SWIB/MDM2 domain
1.10.246.10	12	1212	
1.10.246.20	3	20	Coactivator CBP, KIX domain
1.10.246.30	1	39	
1.10.246.40	1	7	Tn5 transposase; domain 1
1.10.246.60	1	4	Eukaryotic translation initiation factor 3 like domains
1.10.246.70	1	1	
1.10.246.80	2	13	
1.10.246.90	2	41	Nop domain
1.10.246.100	1	1	Vanadium-binding protein 2
1.10.246.110	1	1	Mitochondrial ATP synthase-coupling factor 6
1.10.246.120	2	11	
1.10.246.130	4	51	
1.10.246.140	2	42	
1.10.246.150	1	1	
1.10.246.170	1	1	
1.10.246.180	1	2	
1.10.246.190	2	32	Autophagy protein Apg5, helix rich domain
1.10.246.200	1	1	WPP domain
1.10.246.220	2	6	
1.10.246.230	1	3	
1.10.250.10	1	19	Bluetongue Virus 10, subunit 1, domain 1
1.10.260.30	7	35	Signal recognition particle, SRP54 subunit, M-domain
1.10.260.40	77	674	lambda repressor-like DNA-binding domains
1.10.260.50	1	14	
1.10.260.60	1	43	
1.10.260.70	1	4	SATB, CULT domain
1.10.260.80	1	3	
1.10.260.90	2	6	
1.10.260.100	3	3	
1.10.260.110	1	2	
1.10.260.130	1	6	
1.10.260.140	1	1	
1.10.260.160	1	1	
1.10.260.170	1	3	
1.10.260.200	1	1	
1.10.268.10	8	72	Topoisomerase, domain 3
1.10.268.20	2	4	
1.10.269.10	1	8	Adenovirus DNA-binding, N-terminal domain
1.10.274.10	1	21	PtsI, HPr-binding domain
1.10.274.20	3	56	Phenylalanine ammonia-lyase 1; domain 3
1.10.274.30	2	13	MRG domain
1.10.274.50	1	5	
1.10.274.60	3	4	Spidroin, repetitive domain
1.10.274.70	3	20	
1.10.274.80	1	1	
1.10.274.100	4	79	RNA polymerase Rpb1, domain 3
1.10.274.110	1	2	
1.10.275.10	17	395	Fumarase/aspartase (N-terminal domain)
1.10.275.20	1	8	Choline/Carnitine o-acyltransferase
1.10.275.30	2	4	
1.10.275.40	1	3	
1.10.275.60	1	2	
1.10.285.10	1	58	Glutamate Dehydrogenase, chain A, domain 3
1.10.285.20	1	4	Uncharacterised protein PF01937, DUF89, domain 2
1.10.286.10	3	161	
1.10.286.20	2	15	
1.10.286.30	1	3	Baseplate structural protein GP11, N-terminal domain
1.10.286.40	3	9	Chlorophyll a-b binding protein like
1.10.286.50	1	2	
1.10.286.70	2	6	Get5 dimerization domain
1.10.286.90	1	2	MFS transporter, transmembrane helix TM10b
1.10.287.10	10	472	S15/NS1, RNA-binding
1.10.287.20	2	76	Ubiquinol-cytochrome C reductase hinge domain
1.10.287.30	1	12	E2 (early) protein, N terminal domain, subdomain 1
1.10.287.40	7	42	Serine-tRNA synthetase, tRNA binding domain
1.10.287.70	29	707	
1.10.287.80	7	124	ATP synthase, gamma subunit, helix hairpin domain
1.10.287.90	5	130	
1.10.287.100	10	51	
1.10.287.110	22	98	DnaJ domain
1.10.287.120	1	1	Neurotoxin B-IV-like
1.10.287.130	19	108	
1.10.287.140	1	204	
1.10.287.150	4	30	
1.10.287.160	7	24	HR1 repeat
1.10.287.170	1	2	
1.10.287.180	3	16	Transcription elongation factor, GreA/GreB, N-terminal domain
1.10.287.190	1	7	Transcription factor IIA gamma subunit, alpha-helical domain 
1.10.287.210	18	164	
1.10.287.230	2	35	
1.10.287.260	2	17	
1.10.287.280	1	17	
1.10.287.310	4	140	
1.10.287.320	1	1	Viral phosphoprotein oligmorisation site domain
1.10.287.340	1	1	
1.10.287.370	4	9	
1.10.287.380	2	5	Valyl-tRNA synthetase, C-terminal domain
1.10.287.390	2	2	
1.10.287.400	1	7	
1.10.287.410	1	3	
1.10.287.440	1	38	
1.10.287.450	3	25	Helix hairpin bin
1.10.287.460	2	6	Peptidyl-prolyl cis-trans isomerase, FKBP-type, N-terminal domain
1.10.287.470	6	83	Helix hairpin bin
1.10.287.480	1	3	helix hairpin bin
1.10.287.490	1	2	Helix hairpin bin
1.10.287.500	1	1	Helix hairpin bin
1.10.287.510	1	2	Helix hairpin bin
1.10.287.520	2	2	Helix hairpin bin
1.10.287.540	11	97	Helix hairpin bin
1.10.287.550	1	1	Helix hairpin bin
1.10.287.560	1	2	Histidine kinase  CheA-like, homodimeric domain
1.10.287.570	1	1	Helical hairpin bin
1.10.287.580	2	3	Helix hairpin bin
1.10.287.600	6	760	Helix hairpin bin
1.10.287.610	6	392	Helix hairpin bin
1.10.287.620	1	6	Helix Hairpins
1.10.287.630	2	38	Helix hairpin bin
1.10.287.650	6	17	L27 domain
1.10.287.660	12	40	Helix hairpin bin
1.10.287.670	3	22	Phycobilisome degradation protein NblA
1.10.287.680	2	32	Helix hairpin bin
1.10.287.690	9	247	Helix hairpin bin
1.10.287.700	2	2	Helix hairpin bin
1.10.287.710	2	22	Helix hairpin bin
1.10.287.720	1	1	Pollen allergen ole e 6
1.10.287.730	2	3	Helix hairpin bin
1.10.287.740	1	59	Photosystem II PsbZ, reaction centre
1.10.287.750	3	12	SO2669-like
1.10.287.760	1	3	YqgQ-like
1.10.287.770	7	51	YojJ-like
1.10.287.780	1	2	ITPase-like domains
1.10.287.790	1	8	luxt domain from vibrio parahaemolyticus
1.10.287.800	1	2	protein ne1242 
1.10.287.810	5	20	Mitochondrial import inner membrane translocase subunit tim13 like domains
1.10.287.820	1	35	Acid-sensing ion channel domain
1.10.287.830	2	3	putative peptidase helix hairpin domain like
